State,IncomePerCap,Poverty,ChildPoverty,Unemployment
Alabama,20780.940298507463,21.76268656716418,31.66865671641792,11.310447761194027
Alaska,30332.96551724138,13.341379310344827,16.886206896551723,9.855172413793104
Arizona,21052.533333333333,21.3,29.739999999999995,11.966666666666667
Arkansas,20072.02666666667,21.551999999999982,31.410666666666664,8.982666666666667
California,27902.603448275862,16.67068965517241,21.594827586206904,10.8
Colorado,27747.25,14.385937499999997,18.984375,7.456249999999999
Connecticut,37025.125,9.4,12.2,8.1625
Delaware,28952.0,12.5,18.900000000000002,7.933333333333334
District of Columbia,47675.0,18.0,26.7,9.6
Florida,23501.850746268658,18.250746268656716,26.516417910447757,10.38358208955224
Georgia,20566.006289308178,22.198113207547163,31.761635220125775,9.974213836477992
Hawaii,31892.6,13.219999999999999,17.225,5.2
Idaho,21451.113636363636,16.193181818181817,20.85909090909091,7.081818181818179
Illinois,25485.71568627451,14.210784313725494,20.032352941176477,7.9745098039215705
Indiana,23977.065217391304,13.89021739130435,19.844565217391306,7.3336956521739145
Iowa,26555.868686868685,11.850505050505049,15.739393939393947,4.608080808080808
Kansas,24953.04761904762,12.882857142857146,17.419047619047618,4.6485714285714295
Kentucky,20663.608333333334,21.8275,30.121666666666663,9.337500000000002
Louisiana,22064.609375,21.956250000000008,30.970312500000006,9.2328125
Maine,25792.3125,15.1,20.88125,7.437500000000001
Maryland,33073.208333333336,11.237499999999999,16.133333333333336,7.4750000000000005
Massachusetts,35554.42857142857,12.042857142857141,16.57142857142857,7.292857142857144
Michigan,23662.204819277107,16.687951807228917,24.31927710843374,9.96265060240964
Minnesota,27610.42528735632,11.67241379310345,15.480459770114937,4.975862068965518
Mississippi,18805.048780487807,25.723170731707313,36.264634146341464,12.024390243902438
Missouri,21504.782608695652,18.058260869565213,25.24782608695652,7.605217391304348
Montana,25020.678571428572,15.719642857142855,21.544642857142865,5.553571428571431
Nebraska,26336.84946236559,11.975268817204299,16.259139784946246,3.345161290322579
Nevada,26317.70588235294,14.029411764705882,19.988235294117647,10.476470588235296
New Hampshire,31810.4,10.169999999999998,14.040000000000001,5.8100000000000005
New Jersey,36084.52380952381,10.533333333333335,15.233333333333329,8.966666666666667
New Mexico,21789.454545454544,21.121212121212125,27.984848484848484,8.469696969696969
New York,28189.75806451613,14.482258064516127,20.403225806451605,7.85806451612903
North Carolina,22514.36,19.369999999999994,28.65,10.452
North Dakota,31900.509433962263,11.424528301886792,13.607547169811319,2.681132075471698
Ohio,24467.772727272728,15.334090909090902,22.36590909090909,7.957954545454546
Oklahoma,22811.87012987013,17.34155844155844,23.7961038961039,6.329870129870131
Oregon,24311.916666666668,17.355555555555558,23.463888888888892,9.927777777777779
Pennsylvania,25952.223880597016,13.144776119402982,19.452238805970143,7.229850746268657
Puerto Rico,9617.666666666666,49.374358974358984,60.21025641025642,19.370512820512822
Rhode Island,35670.6,10.7,13.440000000000001,7.56
South Carolina,21411.956521739132,21.213043478260868,31.73695652173914,11.330434782608691
South Dakota,25334.89393939394,16.743939393939396,20.334848484848482,5.6045454545454545
Tennessee,21442.42105263158,19.450526315789467,27.550526315789476,9.503157894736844
Texas,23551.799212598424,17.159055118110235,24.327165354330702,6.738188976377953
Utah,22552.241379310344,13.268965517241382,15.77241379310345,5.958620689655171
Vermont,28487.214285714286,11.785714285714286,16.114285714285717,5.935714285714284
Virginia,27065.39097744361,14.972932330827074,20.557894736842112,7.28796992481203
Washington,25734.410256410258,16.26153846153846,21.482051282051277,8.841025641025642
West Virginia,21710.418181818182,18.79090909090909,26.438181818181818,8.670909090909092
Wisconsin,26250.722222222223,12.519444444444446,17.28888888888889,6.172222222222222
Wyoming,29223.652173913044,11.68695652173913,15.48695652173913,4.591304347826087
